,title,company,salary,location
0,Junior Data Analyst - Insurance,Mavriq,No salary,20100 Milano
1,Energy Industry Analyst,Octopus Energy Group,Tempo pieno,"Milano, Lombardia"
2,Data Analyst,Covisian S.p.A.,Tempo indeterminato,51100 Pistoia
3,Business Data Analyst,Dune,Tempo pieno +1,"Milano, Lombardia"
4,Data Analyst,Peroptyx,390 € - 780 € al mese,"Remoto in Milano, Lombardia"
5,Financial Planning & Control Analyst,Verisure Italy S R L,Tempo pieno,00166 Roma
6,Junior Business Analyst,Dot Academy srl,Tempo pieno,27100 Pavia
7,JUNIOR IT & DATA ANALYST,PHARE CONSULTING,Tempo pieno +2,20900 Monza
8,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
9,Business Product Analyst,Iperal,Tempo pieno,23010 Piantedo
10,Addetto/a Customer Service e Data Analyst,Eurointerim,Tempo pieno +1,"Modena, Emilia-Romagna"
11,Software Developer Senior,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
12,Strategy business analyst,Alyant,Tempo pieno,37122 Verona
13,DATA ANALYST,Randstad,Tempo pieno,"San Zeno Naviglio, Lombardia"
14,DATA ANALYST JUNIOR,Ali Spa,Tempo determinato,"San Donà di Piave, Veneto"
15,Junior Data Analyst - Insurance,Mavriq,No salary,20100 Milano
16,Energy Industry Analyst,Octopus Energy Group,Tempo pieno,"Milano, Lombardia"
17,Data Analyst,Peroptyx,390 € - 780 € al mese,"Remoto in Milano, Lombardia"
18,Data Analyst,Covisian S.p.A.,Tempo indeterminato,51100 Pistoia
19,Business Data Analyst,Dune,Tempo pieno +1,"Milano, Lombardia"
20,Financial Planning & Control Analyst,Verisure Italy S R L,Tempo pieno,00166 Roma
21,JUNIOR IT & DATA ANALYST,PHARE CONSULTING,Tempo pieno +2,20900 Monza
22,Field Service Engineer (Onsite Agrate B.),APPLIED MATERIALS,No salary,20121 Milano
23,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
24,Business Product Analyst,Iperal,Tempo pieno,23010 Piantedo
25,Addetto/a Customer Service e Data Analyst,Eurointerim,Tempo pieno +1,"Modena, Emilia-Romagna"
26,DATA ANALYST,Temporary S.p.A.,Tempo pieno +1,"Milano, Lombardia"
27,Data Analyst Laboratorio Materiali,Socotec Italia Srl,Tempo indeterminato +1,"Lainate, Lombardia"
28,Strategy business analyst,Alyant,Tempo pieno,37122 Verona
29,Software Developer Senior,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
30,Junior Data Analyst - Insurance,Mavriq,No salary,20100 Milano
31,Energy Industry Analyst,Octopus Energy Group,Tempo pieno,"Milano, Lombardia"
32,Data Analyst,Covisian S.p.A.,Tempo indeterminato,51100 Pistoia
33,Business Data Analyst,Dune,Tempo pieno +1,"Milano, Lombardia"
34,Data Analyst,Peroptyx,390 € - 780 € al mese,"Remoto in Milano, Lombardia"
35,JUNIOR IT & DATA ANALYST,PHARE CONSULTING,Tempo pieno +2,20900 Monza
36,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
37,Field Service Engineer (Onsite Agrate B.),APPLIED MATERIALS,No salary,20121 Milano
38,Business Analyst,Michael Page,No salary,"Roma, Lazio"
39,Customer Experience Analyst (Stage),Mediaworld,Tirocinio formativo/stage,20843 Verano Brianza
40,Data Analyst,Randstad,Tempo pieno,20100 Milano
41,Strategy business analyst,Alyant,Tempo pieno,37122 Verona
42,DATA ANALYST,Temporary S.p.A.,Tempo pieno +1,"Milano, Lombardia"
43,Data Analyst Laboratorio Materiali,Socotec Italia Srl,Tempo indeterminato +1,"Lainate, Lombardia"
44,Software Developer Senior,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
45,Junior Data Analyst - Insurance,Mavriq,No salary,20100 Milano
46,Energy Industry Analyst,Octopus Energy Group,Tempo pieno,"Milano, Lombardia"
47,Data Analyst,Covisian S.p.A.,Tempo indeterminato,51100 Pistoia
48,Business Data Analyst,Dune,Tempo pieno +1,"Milano, Lombardia"
